id,predict_0,predict_1,predict_2
11066,0.8169858895236526,0.03366476480215154,0.004941160630109985
18000,0.28589008809558564,0.21612043486122615,0.687939750190838
16964,0.9132216093053228,0.0363090684802162,0.0038590042232488943
4795,0.8251453925949258,0.09050340456883738,0.008987038269593057
3392,0.2983489410728325,0.6125101119476402,0.23498503466314705
3795,0.2532540741825337,0.8010055864500896,0.031373505941016476
2881,0.8412136189870502,0.07146111773025182,0.0038590042232488943
1903,0.23788908911018533,0.09746923760521738,0.5854373757387268
5245,0.9270734613060115,0.06632656622752997,0.011748796004438379
6726,0.890147639422751,0.12429932029190713,0.006150156078864186
1311,0.8994880251811047,0.09043680524673142,0.004479908682968265
15795,0.8169858895236526,0.35588649347628487,0.003407136766978276
4315,0.8908035248841996,0.1616769829186367,0.02479464307110686
3393,0.17244141667253646,0.1091241592121334,0.4770957418830451
6764,0.900354463954051,0.058721547771704484,0.021474054468400325
13039,0.7024877485565394,0.3721983028269783,0.003407136766978276
12331,0.19762461801787173,0.09126899891615889,0.06387493772888388
14276,0.726561861596311,0.28813556817844743,0.016201414890268353
14638,0.8169858895236526,0.4010828262944192,0.003407136766978276
6573,0.941828012520551,0.051492125857267174,0.0038590042232488943
2222,0.28589008809558564,0.1274371002356655,0.6105868996893707
8824,0.9161358622521284,0.05144632761504861,0.0038590042232488943
6360,0.5061792709904411,0.3161920158505252,0.013296430854458459
7553,0.33189240516249335,0.16924223047063214,0.5169195110105287
13760,0.5718356394676072,0.31775668183774924,0.019286385192711315
4284,0.9048727856165283,0.1250752359620171,0.019063182816768796
1356,0.8908035248841996,0.12429932029190713,0.02479464307110686
3410,0.973889750238985,0.031992511433748046,0.01735434053250913
4830,0.45173219897517763,0.24935937915363918,0.11755487153933315
8998,0.41106076096189914,0.48268709142832694,0.031373505941016476
18052,0.95930200490448,0.052591653467056486,0.0038590042232488943
7539,0.8412136189870502,0.08692897204942128,0.0038590042232488943
9529,0.9558228750830856,0.05766099595342463,0.010609159601860518
3656,0.8709268513172052,0.0963197861419857,0.019286385192711315
14238,0.7191874509675447,0.2760106379894864,0.04209455673476522
2682,0.720647243227762,0.37356214922878267,0.003407136766978276
7312,0.6078765427973674,0.30901125193588347,0.026447443252015822
12971,0.7151545352815495,0.04330163087479997,0.01427764990597535
10735,0.8169858895236526,0.4010828262944192,0.003407136766978276
4050,0.6425964296380865,0.24791035756839797,0.02838494336370021
5943,0.8412136189870502,0.4489856153031813,0.003407136766978276
6482,0.7563159037308635,0.3073890983834412,0.006150156078864186
9746,0.28589008809558564,0.1274371002356655,0.5171433477696761
13320,0.28589008809558564,0.1274371002356655,0.5518366701277758
803,0.5825245564406917,0.35783472123404036,0.019286385192711315
15437,0.8357105896918297,0.1033880086103322,0.04204780568797696
12302,0.9600781627430235,0.023979889418924698,0.0038590042232488943
12271,0.8169858895236526,0.1839183543939296,0.0038590042232488943
5341,0.9226118079705958,0.03817208651434129,0.031373505941016476
4427,0.941828012520551,0.037286118959661566,0.00443410492175542
529,0.8242546543859259,0.12223460999471727,0.019286385192711315
2022,0.9413216515662767,0.04508034295898921,0.015137520836138526
14625,0.9600781627430235,0.03168559520849735,0.0038590042232488943
2922,0.238333884239396,0.2889279333576474,0.2964310966819078
16330,0.08646357229850926,0.34663310797018604,0.3413624011687143
12890,0.8169858895236526,0.07146111773025182,0.0038590042232488943
2140,0.8169858895236526,0.41264886665023587,0.003407136766978276
13484,0.787157299087375,0.24935937915363918,0.006814104983524866
12392,0.8607893436721769,0.09043680524673142,0.004479908682968265
2322,0.28589008809558564,0.16924223047063214,0.7026809694851999
567,0.29556325571175096,0.15150497634694385,0.6424633283696999
4436,0.7024877485565394,0.06360196596798436,0.00443410492175542
12156,0.9375193056914932,0.02734328774005786,0.0038590042232488943
7508,0.8393671710822028,0.2651135596209334,0.011083290799927054
6184,0.8537606565368556,0.05909817109431886,0.0515418394455394
12213,0.9135937747802164,0.0725536469029426,0.02479464307110686
6458,0.07264862932081795,0.4135049205141837,0.1715380292714878
13967,0.7579910594702489,0.15686120185255978,0.005621682805158
894,0.8304317627533646,0.24900651195928983,0.02479464307110686
7461,0.1357295997019796,0.5551120724250704,0.09627044297614468
8949,0.9159572028606048,0.10187504084525105,0.005621682805158
3477,0.42986776937325166,0.5661382182345946,0.019286385192711315
